Word,Count,Senses,Definition,Example
cheaply,7,inexpensively,with little expenditure of money,I bought this car very cheaply
cheaply,7,tattily inexpensively,in a cheap manner,a cheaply dressed woman approached him in the bar
cheek by jowl,13,,in close proximity,the houses were jumbled together cheek by jowl
cheekily,8,nervily brashly,in a brash cheeky manner,"brashly, she asked for a rebate"
cheerfully,10,,in a cheerful manner,he cheerfully agreed to do it
cheerlessly,11,,in an unhappy manner,he cheerlessly set out to do the task
chemically,10,,with respect to chemistry,chemically different substances
chemically,10,,with chemicals,chemically fertilized
chiefly,7,principally primarily  mainly  in the main,for the most part,he is mainly interested in butterflies
childishly,10,,in a childlike manner,he acted very childishly
chock,5,chock-a-block,as completely as possible,it was chock-a-block full
chorally,8,,by a chorus,chorally accompanied
chromatically,13,,with respect to color,chromatically pure
chronically,11,,in a slowly developing and long lasting manner,chronically ill persons
chronically,11,inveterate,in a habitual and longstanding manner,smoking chronically
chronologically,15,,with respect to chronology,he is chronologically older
churlishly,10,surlily,in a churlish manner,the store owner treated his customers churlishly
circumstantially,16,,insofar as the circumstances are concerned,the account was circumstantially accurate
circumstantially,16,,according to circumstances,he was convicted circumstantially
civilly,7,,in a civil manner,he treats his former wife civilly
clannishly,10,cliquishly,in a clannish manner,"these four friends always act clannishly, and don't let us participate in their activities"
classically,11,,in the manner of Greek and Roman culture,this exercise develops a classically shaped body
clean,5,plumb plum,completely,
cleanly,7,,in a manner that minimizes dirt and pollution,the motor burns cleanly
clear,5,all the way,completely,read the book clear to the end
clearly,7,,without doubt or question,they were clearly lost
clearly,7,clear,in an easily perceptible manner,could be seen clearly under the microscope
cleverly,8,smartly,in a clever manner,they were cleverly arranged
climatically,12,,with respect to climate,they were used to a climatically different environment
clinically,10,,in a clinical manner,she is clinically qualified
clockwise,9,,in the direction that the hands of a clock move,please move clockwise in a circle
close,5,closely tight,in an attentive manner,he remained close on his guard
close to the wind,17,,nearly opposite to the direction from which wind is coming,
close up,8,at close range,very close,without my reading glasses I can hardly see things close up
closely,7,,in a close relation or position in time or space,the onsets were closely timed
closely,7,intimately nearly,in a close manner,the two phenomena are intimately connected
clumsily,8,,in a clumsy manner,he snatched the bills clumsily
coarsely,8,,in coarse pieces,the surfaces were coarsely granular
coastwise,9,,"by way of, or along the coast",we were travelling coastwise
coaxingly,9,cajolingly,in a cajoling manner,"`Come here,' she said coaxingly"
cognitively,11,,with regard to cognition,cognitively skillful
coherently,10,,in a coherent manner,she could not talk coherently after the accident
cold-bloodedly,14,in cold blood,emotionlessly and heartlessly,with deliberate cruelty or callousness
coldly,6,,lacking warmth of feeling,"in a cold, unemotional manner"
collect,7,,make a telephone call or mail a package so that the recipient pays,call collect
collectedly,11,composedly,in a self-collected or self-possessed manner,he announced the death of his father collectedly
colloidally,11,,in a colloidal manner,particles were colloidally dispersed in the medium
colloquially,12,conversationally informally,with the use of colloquial expressions,this building is colloquially referred to as The Barn
Column,6,,Column3,Column
combatively,11,scrappily,in a bellicose contentious manner,"`Don't trespass onto my property,' the neighbor shouted combatively"
come hell or high water,23,no matter what happens whatever may come,in spite of all obstacles,we'll go to Tibet come hell or high water
comfortably,11,,in mental comfort,without stress
comfortably,11,,in physical comfort,she could have been lying comfortably in bed getting the same relief
comfortingly,12,consolingly,in a comforting or consoling manner,one part of a strange world should be given a comfortingly familiar form
comically,9,,in a comical manner,the tone was comically desperate
commercially,12,,in a commercial manner,the product is commercially available
communally,10,,by a group of people rather than an individual,the mills were owned communally
compactly,9,,taking up no more space than necessary,liquid food compactly stored in a pressurized tank
compactly,9,,in a compact manner or state,The children were packed compactly into the car
comparably,10,,in a comparable manner or to a comparable degree,you will have to work comparably harder
competently,11,aptly ably  capably,with competence,in a competent capable manner
competitively,13,,in competition,the companies should bid competitively
complacently,12,,in a self-satisfied manner,he complacently lived out his life as a village school teacher
complainingly,13,,with complaints,"she did her work, but she did so complainingly"
completely,10,,so as to be complete,with everything necessary
compulsively,12,obsessively obsessionally,in a compulsive manner,he cleaned his shoes compulsively after every walk
compulsorily,12,obligatorily mandatorily,in a manner that cannot be evaded,the ministry considers that contributions to such a fund should be met from voluntary donations rather than from rates compulsorily levied.
computationally,15,,with regard to computation,"computationally, this is a tricky problem"
con,3,,"in opposition to a proposition, opinion, etc.",much was written pro and con
con brio,8,,(music) with vigor,
concavely,9,,in a concave way,shaped concavely
conceitedly,11,self-conceitedly,with conceit,in a conceited manner
conceivably,11,,within the realm of possibility,the weather may conceivably change
conceptually,12,,in a conceptual manner,he can no longer think conceptually
concernedly,11,,in a manner showing concern,"`Are you all right,' he asked concernedly"
concisely,9,briefly shortly  in brief  in short,in a concise manner,in a few words
conclusively,12,once and for all,in a conclusive way,we settled the problem conclusively
concretely,10,,in concrete terms,"concretely, this meant that he was broke"
concurrently,12,at the same time,overlapping in duration,concurrently with the conference an exhibition of things associated with Rutherford was held
condescendingly,15,patronizingly patronisingly,with condescension,in a patronizing manner
conditionally,13,,subject to a condition,he accepted the offer conditionally
